node_id,certs,qrcode
iiV98CZCNkTmAoUbeA48hC,"-----BEGIN CERTIFICATE-----
MIIDSTCCAjGgAwIBAgIUPft0aMkS7lVb32h4rJkrFK9TBwIwDQYJKoZIhvcNAQEL
BQAwgYcxCzAJBgNVBAMMAmVzMQswCQYDVQQKDAJlczELMAkGA1UECwwCZXMxDTAL
BgNVBAcMBHB1bmUxCzAJBgNVBAgMAk1IMQswCQYDVQQGEwJJTjE1MDMGCSqGSIb3
DQEJARYmZXNwLXJhaW5tYWtlcjE2QHJoZ2FiZnNiLm1haWxvc2F1ci5uZXQwIBcN
MjUwNTI2MTYxMDM5WhgPMjEyNTA1MjYxNjEwMzlaMCExHzAdBgNVBAMMFmlpVjk4
Q1pDTmtUbUFvVWJlQTQ4aEMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIB
AQDSNKO+bnYN0p/LhFoA4YihSMlPUVwtu6su6jJ6+jGZEz/SlCRfDo/eMsVUyc6+
rUfDfuEvllu2Vd4ANS99I408F1rzswofrSCrrLyQmaKJdyUHoCeQaj/sN+CSJUuX
UO8jfw23dB0XRdzL7MjLmNMixRcQPQWND14iprK1OhfLlhpKMpWzzTT19gfcYLUB
8N3McRpU8TRgfXfEsogcB+Vf+zd18vD1r5F3s1LEE3Z57yOqHiYzWwx3ZVFzXFMB
Eo73ADQpm8XAA6iRRTs+wII1CcE9/9X1lWIPP9n3sPy5l09bTN/VUPXA/mg6K+Nq
L7xUgoD2F9cDpPmE7Awa4O2lAgMBAAGjEDAOMAwGA1UdEwEB/wQCMAAwDQYJKoZI
hvcNAQELBQADggEBAB3wLhjtWnGvZRUOypfSW1x9hoqd/vgMyt7L+L6C5nGV+FS0
h8EH4xBWob1/rbkSRi6oJXOd7WF3bcYNkfeFisq1siRlVnMUKXMgaxa+7uKQKWvA
ZEoqzcwlhaSEMRZz3TULEQZkMks9hh+SDevSpxjeFIL9vPwZ3dG/zL6mnDnkm7NA
DCllDmMsAEb6ap1QJ3bZHXdGHzFiosqJ5abgrNSKtMF19TgMyZXLi6ggtkeZxcHL
Mhrqp4YqkpUMmpJOIcO5PpvHud4BRIVUKAOH6sftsD7E50u82qasjrCTTLjSEfg+
P582b/uZ6xv3TPL1/iSskpdYjzjwWSr3WNZ9QDc=
-----END CERTIFICATE-----
","{""ver"": ""v1"", ""name"": ""PROV_374a35"", ""pop"": ""3a556ecc"", ""transport"": ""ble""}"
oJLLLfUXiwkoGeUisMpXSo,"-----BEGIN CERTIFICATE-----
MIIDSTCCAjGgAwIBAgIUPNaVDBwhcMvIWHtej62KkTv1AygwDQYJKoZIhvcNAQEL
BQAwgYcxCzAJBgNVBAMMAmVzMQswCQYDVQQKDAJlczELMAkGA1UECwwCZXMxDTAL
BgNVBAcMBHB1bmUxCzAJBgNVBAgMAk1IMQswCQYDVQQGEwJJTjE1MDMGCSqGSIb3
DQEJARYmZXNwLXJhaW5tYWtlcjE2QHJoZ2FiZnNiLm1haWxvc2F1ci5uZXQwIBcN
MjUwNTI2MTYxMDM5WhgPMjEyNTA1MjYxNjEwMzlaMCExHzAdBgNVBAMMFm9KTExM
ZlVYaXdrb0dlVWlzTXBYU28wggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIB
AQDbcPBSqEosDi7O58F+JeSZJSGohVhQkKzvaY6YX6syTN9jPJEVohm6IQd5NV9S
kebNFnPfMD+zp9W9Eksw5sGvaAM5KQLoVROgwlN6CJgVU72fjoxfmdlEuWaAAcmU
lq1ODhWorsKNHjwiOjdsIulmugsdvXwJAo3iIrJ8RST0qC6R1vL1sEdN9lir0LwK
TDCZLp4zngL7xk0tQUqKGKVmLfOyEiS7ljsGx8Rb76sueGmIwVSfXUornOWL5aP1
ntAJggrDs+1jas8jWIsmqslfgjZtmWtttOvdElqZX+aTlq3CSsIkUJPivbcpkatS
IMYvqrVUKF9PPjZrH1aZOh3zAgMBAAGjEDAOMAwGA1UdEwEB/wQCMAAwDQYJKoZI
hvcNAQELBQADggEBAMN4lOVMDpmiRUCgByO4u75CKGciLucL+SjG1BscogjLZKdZ
GdbByKOj0oF28rqYOsG5iHMJVsRk4sU7wuiYqwCAzI/kTxh9WV6FWX0jFKuvtFpX
D3W+YczRcvRU17t1nFR5UncTOEfmrKb+ftIm6nPQdMEelZb8aaFDH/BCtsEpqrqk
ilcuv4Vqn2sonDqq3d74RdaWgq5Y1TY13lm3mph+bh4BSbLQz5g0uJbDpuGw5g0l
Cu2F0lymHBzd563aToyXUYTDX0sdkUakEOejYwhOt8OTu/Hd2GbiNVGtGsH4dywl
ydWHr3kdV2+chWROHjPP7n7RlE58f+wY1qKygt8=
-----END CERTIFICATE-----
","{""ver"": ""v1"", ""name"": ""PROV_2dd8e2"", ""pop"": ""341196b9"", ""transport"": ""ble""}"
o4GJrMKPJDQGkHfrNog9Ap,"-----BEGIN CERTIFICATE-----
MIIDSTCCAjGgAwIBAgIUcoRbnJ3GFupulQKM7pmXzKhIGhUwDQYJKoZIhvcNAQEL
BQAwgYcxCzAJBgNVBAMMAmVzMQswCQYDVQQKDAJlczELMAkGA1UECwwCZXMxDTAL
BgNVBAcMBHB1bmUxCzAJBgNVBAgMAk1IMQswCQYDVQQGEwJJTjE1MDMGCSqGSIb3
DQEJARYmZXNwLXJhaW5tYWtlcjE2QHJoZ2FiZnNiLm1haWxvc2F1ci5uZXQwIBcN
MjUwNTI2MTYxMDM5WhgPMjEyNTA1MjYxNjEwMzlaMCExHzAdBgNVBAMMFm80R0py
TUtQSkRRR2tIZnJOb2c5QXAwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIB
AQC2HjdtBqLnbfbmeJl1oSq9/rWiVLPVIjyNG4bnePgOWhB38c1EjHbH7JY2g5b0
QI8gNIP06YrU3BoEHeTY6iadN0YLliPuQmAgVoYmSLpE2/hIqYu5/fyXk+FpEcXF
LrevXIB8PXoqOMx7sIus4flcRZv0dohZdJu6ENepnW3/hPj1NWa13/TMxDwTSujC
Zev+5SmWAFlHOdy3ctQs6MozuNEMogb+nLQxm49VDoF2ThhKm0g1/eQaFt5/jvBT
+yu+0pd/dgcqYqJv89ou3l1kB2vEnixSXB9lMigiwm4bCNv5pRNV9TFG6QLSkHRr
cdrNl43Qns+RM22N17divRwBAgMBAAGjEDAOMAwGA1UdEwEB/wQCMAAwDQYJKoZI
hvcNAQELBQADggEBADz5s1E9s9JoJx/ALUdArZLPLYWiI75H3L73gsAF0iMwWkjB
PDHZX0viptreqWwihjoIQdOMZWZPhNmQDkD3mpt880KrU+JLXXpOpT4PATH4M9gk
XM7yPJ+Lg+DdrVgQYlO/bCv2CmJMH5+8byUkILEvVYB2zSJXCn+sQ7eDkxOZzKC5
mJ6fWoADxbGMJpoTny4bjlBbVTR25aWViOkocBTUvL1/Ns7EdeSBkBLfJXRa61ZA
Czb2+/0ndSd1fUqHozFD/CcUr6KPccu4aPC0rblexDbrXl69l8NM1ZYWnBdpSt3i
Mqs8DKq2B0PbeuRdKn+qlOFJrYNVB3RSvTs5NNM=
-----END CERTIFICATE-----
","{""ver"": ""v1"", ""name"": ""PROV_9d8175"", ""pop"": ""4a66a181"", ""transport"": ""ble""}"
YYcFCnFiX6WtEFS8xW7JeE,"-----BEGIN CERTIFICATE-----
MIIDSTCCAjGgAwIBAgIUYmvpLzfCpyqbe0tW+BX1OA4dZXIwDQYJKoZIhvcNAQEL
BQAwgYcxCzAJBgNVBAMMAmVzMQswCQYDVQQKDAJlczELMAkGA1UECwwCZXMxDTAL
BgNVBAcMBHB1bmUxCzAJBgNVBAgMAk1IMQswCQYDVQQGEwJJTjE1MDMGCSqGSIb3
DQEJARYmZXNwLXJhaW5tYWtlcjE2QHJoZ2FiZnNiLm1haWxvc2F1ci5uZXQwIBcN
MjUwNTI2MTYxMDM5WhgPMjEyNTA1MjYxNjEwMzlaMCExHzAdBgNVBAMMFllZY0ZD
bkZpWDZXdEVGUzh4VzdKZUUwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIB
AQCyjTYfjq0wbox80pn0zIG79ZgyZBZ9DevlXq0433pNk2PaZ9LslW1W8N83gtlf
R8aNr1V77NwGpAp5zGmXvLgJLVKjec+jSreW1a9b5mn7isCr9IHc1lWL304B8Cvt
Nqxi99HOJ37sndSwN1lWJYb3v2hqzA/bTNvcApsDCwzeHtKRCWkuY/stPCTREGz8
U4gCMPLiekGGob295RBfqGUebkaZ5l4JDq9XMNNxtooqX3GmESqTS5jcCZoqXVB4
jBaELlIm+OsiwVSZ2mIDu+uzrDKhSWdhrIzOiz2KjjNG20IHbU+bgeqRjMg366lm
l67TXa0ta1dw6JclMgr3ubztAgMBAAGjEDAOMAwGA1UdEwEB/wQCMAAwDQYJKoZI
hvcNAQELBQADggEBANIapnSfPmKAEw4eilUJqZ1g7nQcY94pAb+vYHdc1f8kYlb6
t2wsVOYl7ihzo0UdZRITzqoPOg/dinWH5VzG15O8hp4NkKG3l1VQLjsLXvJXMgvm
tdZcLc+QOKp10AhocFz5BgbBpt5j3fbFVa3ZV/g5In4FzRTos85lSMa6j+CDJ10K
8s25zLUoKYYHxxeR4oCn22NELDUC8dHTQ6AuCdMyUC1f1nRjCd0tqrgwDTyzIpoF
E8SBrEXSuvCGq8bNEVo4e6bvW2H3/QBJn6VR5Cb8BQVk17kew76MU4U3lREIkpYC
a4JFEQwkYW4pQM8rF83946v+r7V23xKIlwl5aWI=
-----END CERTIFICATE-----
","{""ver"": ""v1"", ""name"": ""PROV_6afa14"", ""pop"": ""fa3c5fd4"", ""transport"": ""ble""}"
RSSLWmMJpq8k9LKMrek7Ty,"-----BEGIN CERTIFICATE-----
MIIDSTCCAjGgAwIBAgIUANG9Px12uP0DS4S+8qiEYZm58lowDQYJKoZIhvcNAQEL
BQAwgYcxCzAJBgNVBAMMAmVzMQswCQYDVQQKDAJlczELMAkGA1UECwwCZXMxDTAL
BgNVBAcMBHB1bmUxCzAJBgNVBAgMAk1IMQswCQYDVQQGEwJJTjE1MDMGCSqGSIb3
DQEJARYmZXNwLXJhaW5tYWtlcjE2QHJoZ2FiZnNiLm1haWxvc2F1ci5uZXQwIBcN
MjUwNTI2MTYxMDM5WhgPMjEyNTA1MjYxNjEwMzlaMCExHzAdBgNVBAMMFlJTU0xX
bU1KcHE4azlMS01yZWs3VHkwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIB
AQC2p/8UREJeiQrIeaI9l1fp3Fw+4wzrDQmvgmk5NKyh2vk2cTzS3tV0fB5BsE/q
+aq62xG0ek897US+BOP+jJP77vP4KXCh+9Pwl94Dz1bB3KGTZP0vpl1kKVEOPBbf
3YHfwMQhHC1MUZGtC/yxJtRX3xm2iXjmIb74MTfA6wsZ4uqIHJFwSXQgceWYr85I
WwWC2f2XGJsydmNyzguPc6MpH+ohSR/HJqcUNFP8fjV6e6wWxk7OlSSDnxc92qv3
gcbXGf1gQUngJ8dWEYcWZT/T/5aAfIrLK3Ww3Rlizc6iVH8mTKZl0zFx2mLOgPeu
2R25Lnn1uk5QAJZQS1QhYl/XAgMBAAGjEDAOMAwGA1UdEwEB/wQCMAAwDQYJKoZI
hvcNAQELBQADggEBABUzn7XRs4e6NfZhY/CFGm1pcZwiyrDKSkp7wKOr/fIhiH9D
tRVTme8v3yJau9QRPMI/XXQw28jOAsPYxpjuenpoMJaZdH02YTAqM0SSlPKnECaB
HvE0Fbi1RFaBo6l5fP+hRtCrkM3UWxRXqyFkfD3oLEu3EuFd5VFW/lte0hc5M9SK
xs36A4iW+pi3kYz80dn9akNmEhdFnV1cFQ9+RV4wi0B3Wfggkx+qmGmibaDyzBYA
qWLiJ+ITOtx1CYUXdCIo1QnNXel4WqtD2RTQlf5BEibrsrvqa2+nV82oAeqAsjYU
H6SWaHuoOHau2sa1hDUEA65NqtHHrGzHaiSwd5U=
-----END CERTIFICATE-----
","{""ver"": ""v1"", ""name"": ""PROV_384de2"", ""pop"": ""ece13812"", ""transport"": ""ble""}"
MkvYyLhPFtVPpX4SL5TVmY,"-----BEGIN CERTIFICATE-----
MIIDSTCCAjGgAwIBAgIUQnsdi72r4VLaooGjKDzA+l6ieJ8wDQYJKoZIhvcNAQEL
BQAwgYcxCzAJBgNVBAMMAmVzMQswCQYDVQQKDAJlczELMAkGA1UECwwCZXMxDTAL
BgNVBAcMBHB1bmUxCzAJBgNVBAgMAk1IMQswCQYDVQQGEwJJTjE1MDMGCSqGSIb3
DQEJARYmZXNwLXJhaW5tYWtlcjE2QHJoZ2FiZnNiLm1haWxvc2F1ci5uZXQwIBcN
MjUwNTI2MTYxMDM5WhgPMjEyNTA1MjYxNjEwMzlaMCExHzAdBgNVBAMMFk1rdll5
TGhQRnRWUHBYNFNMNVRWbVkwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIB
AQDE5S9t8JUrcecuV9uPiR9096oJmHGYmwCnZ+nTbaWWjk9bgq50rk006T3fhUpK
TxfAWInGifMiDDnAhZODnSUbuoo1PNHolaXJ9NXZeXROwJnqYHz6FYAG2LjChqEc
oIO+vJC3sDTBZXZV2d5bu7mAZl44JKrDCBDN/FTmTb+sn6xxUhFTyIWgmj+0WM24
cusVwsMMFlqaDatlZV4Cckb1N76nEEGyhkEV5YDNLoVvAGmC+nCJPNKhytWPa/2F
9/eqK8KUzGckXZQ7ow54gVsYprNyVK/ciLXgZi6TmRmgYcJ8zrTgdedkHG6RgEtG
4+VQ3CFQwNcJErw4ZLSpOjL/AgMBAAGjEDAOMAwGA1UdEwEB/wQCMAAwDQYJKoZI
hvcNAQELBQADggEBANYsCWtgVuF+fqZfYq7yIZa35RJmGDthlqFPePHDMvtAd/xI
HjJ9LLyZ/M5o6b3glMcE9LoAZf7pFFHQjgyYnnfAktzeJApRk4RtHcPzZEG0Mx30
guKF7O+DbuU7eshTqibWbTFAQL7Q2Rk66cwj1lzRAT5YJjLZ1Ui0lpWLrF1jAORw
uRXFE8Lf1V5R6Ft7l/TszMnz114rQ2rnp6cDkXQE3I1kZHe6rMFxiHz/sfznmZZY
zwM641oEPs11ifejB0iuih3twRxzrI5nOfmMpa/zDE3jJU+4/G9vXxVyiJSBxgRp
5Fe85FOVPHzUfJ3K0efq95lgJrZEcFzc9GjOOs4=
-----END CERTIFICATE-----
","{""ver"": ""v1"", ""name"": ""PROV_2b537e"", ""pop"": ""06aaa7f2"", ""transport"": ""ble""}"
83Bv52xGbHwWNQYqTAS6oR,"-----BEGIN CERTIFICATE-----
MIIDSTCCAjGgAwIBAgIUD1k3vFplwlc/9OBapweKf3fwElswDQYJKoZIhvcNAQEL
BQAwgYcxCzAJBgNVBAMMAmVzMQswCQYDVQQKDAJlczELMAkGA1UECwwCZXMxDTAL
BgNVBAcMBHB1bmUxCzAJBgNVBAgMAk1IMQswCQYDVQQGEwJJTjE1MDMGCSqGSIb3
DQEJARYmZXNwLXJhaW5tYWtlcjE2QHJoZ2FiZnNiLm1haWxvc2F1ci5uZXQwIBcN
MjUwNTI2MTYxMDQwWhgPMjEyNTA1MjYxNjEwNDBaMCExHzAdBgNVBAMMFjgzQnY1
MnhHYkh3V05RWXFUQVM2b1IwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIB
AQDGn1fjAHO82OYkZNbjkD41TIMOpAFyhhDlbsgmksvxNPtMQ/naB2kr5S93xMJc
gKzujZ55CMgdyB9RADReMCPlXrz+b71wwQH924nG5B014yaHtr/kkWM43EnStejf
hsmwbVIoF9WG2jIfECZwswLxEIdR1oAIUZP9wUB3Yi6WXB7yCXeOn18pOnzOfPru
yog4RWusnQVrXXGtX8XmbjE8NDp/S+GFeXmT5nlNnchYxNe5wWKWsFRvHEJMUb/R
5k1gcoYKCxRAWih6IpYo9DMY953DcYvesesAq9UfRScN1wYRmN/NctASPp/+iV1O
qYIaeuTOjhtnaOG7rMfld3eXAgMBAAGjEDAOMAwGA1UdEwEB/wQCMAAwDQYJKoZI
hvcNAQELBQADggEBACy05UcluHs8xLQLEQppXE30A2hxcGvTxeLDfeO7kiKaHGug
NVGjFtW8tdvHzvPBTf30DNSRd1kDG45yD9kRV3SCH+qviFEt8hYSAh3LGSpaaDF0
J422hQ5bsxsWTtFyIbIBZJIVVYpn1P3WCvea0NY9wCeQc6c99fccoqUV3cNh0m9f
ocvpVrau+5tucE1/gcJ9DAX68cEav5cr8xJ8tyCaZuXYD84DtzDY7wDgyzFUr1sa
UcMLW8MqWAg1HWYe7ZVpovVLyYxm51/cAj/XNHbzG8/7PA/HIRdaGCCdDExKpMLt
AKi3UNF9FynUKlVmBNolx1qe/INZ96FR/3d/WnE=
-----END CERTIFICATE-----
","{""ver"": ""v1"", ""name"": ""PROV_dc2fd4"", ""pop"": ""6da8fa84"", ""transport"": ""ble""}"
eQUZucrYLYFQxAhgFvTt3s,"-----BEGIN CERTIFICATE-----
MIIDSTCCAjGgAwIBAgIUWq0IRVa1ZIPMMfxDCAs3Gvkw0FYwDQYJKoZIhvcNAQEL
BQAwgYcxCzAJBgNVBAMMAmVzMQswCQYDVQQKDAJlczELMAkGA1UECwwCZXMxDTAL
BgNVBAcMBHB1bmUxCzAJBgNVBAgMAk1IMQswCQYDVQQGEwJJTjE1MDMGCSqGSIb3
DQEJARYmZXNwLXJhaW5tYWtlcjE2QHJoZ2FiZnNiLm1haWxvc2F1ci5uZXQwIBcN
MjUwNTI2MTYxMDQwWhgPMjEyNTA1MjYxNjEwNDBaMCExHzAdBgNVBAMMFmVRVVp1
Y3JZTFlGUXhBaGdGdlR0M3MwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIB
AQC7kSQ4B/2l/RJ8hLZZHRvYjqKHG2fDRWnlbPxVolUHl2AVbxSGfOxHg9a6HHDw
3atcSJ9OnYLKuG7XOL04CCnab5di1kmnwq1aCEQdmbtgJdl16pKQfXRgPuS6bbDw
zGjboY4B6Y27wmYc8gywXUtn5TCngIE8wR6v920NkGHLxHmMPDL/8aI47P1PU2Ut
HBb3QUm2mrGfMsw0emcVlkDUdWafTJYmt1nyvZFCDpPFE5mRE5mv2CswWgpO1rIe
PSRlH8jQrg0A5VltQjTvWDgxQT6ycQmJwdPcqcNmn2HOVMFTro54wrep653dlhB8
+LI9TMHMGSWSE8q1dFdfyuOZAgMBAAGjEDAOMAwGA1UdEwEB/wQCMAAwDQYJKoZI
hvcNAQELBQADggEBAFXmH9+ofllwNJbZkaUd3TLVh9shHFi1kHgvUjqSNUr/LIcS
q9m2p/30OtLe/epLAcNroBEmLlEnaWpTXOnHEkIVzUgjla1DDus0uApnfcUCjpV6
48SNoCbzYjyw4ReYmOId77gNaDtKuHXuSPXMCIK9VfuDrhW7Fy8+2Xl/2t5CqLvK
/Yghts6OUGnEYR34cDS029eZoBD2xhOfLfwpfOs25a+LaF0M10+gQTyuk7mW5/O5
m9FcX0C0G3HSqVyJCnD4joHZAw7k1P8TcLTv6FZf1dNW3T5NyGVGEIAR0YYJDhHS
IqJIQCVJRyoMOcxY6u02tAGcRKOA4XfpiyXSZRY=
-----END CERTIFICATE-----
","{""ver"": ""v1"", ""name"": ""PROV_41462e"", ""pop"": ""54377c1c"", ""transport"": ""ble""}"
HLEWV9c7dndzcmqZKGGxzh,"-----BEGIN CERTIFICATE-----
MIIDSTCCAjGgAwIBAgIUOzC3fCw0c3MbmrY+M0beOp7UkSgwDQYJKoZIhvcNAQEL
BQAwgYcxCzAJBgNVBAMMAmVzMQswCQYDVQQKDAJlczELMAkGA1UECwwCZXMxDTAL
BgNVBAcMBHB1bmUxCzAJBgNVBAgMAk1IMQswCQYDVQQGEwJJTjE1MDMGCSqGSIb3
DQEJARYmZXNwLXJhaW5tYWtlcjE2QHJoZ2FiZnNiLm1haWxvc2F1ci5uZXQwIBcN
MjUwNTI2MTYxMDQwWhgPMjEyNTA1MjYxNjEwNDBaMCExHzAdBgNVBAMMFkhMRVdW
OWM3ZG5kemNtcVpLR0d4emgwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIB
AQC5uXJF+NEs6IwylchFrgRBcJ2AlfEghvGKtd8sVBjmAF2qtr5pRyw1kB7awOq/
oj+1yjyV9Mn+lmNRlSV8PcDWzM4GUFYNEzA8mnHacLsFYTmYI/nQZbKOo5EY886K
SuO16Tc5MMrsfnm/f4muqQ9TkFF1WrIsSAoC9qu5kX0uLn9Qlsmu1urvibBQGz2T
0qZGyIZ9bpkk5cgpLcEQ9FIA39sAleZ1c+LQBQzX+a0PqLPMZhMIg50h8j79T86w
R9p5vKFe8Kg5+N55KynadmeW9s40ZULSFq/3Z1xi3H48E9HU9tUXJmgN4PPRXj4B
Vj/nGKh/H5o9HaUbfpy0qJs5AgMBAAGjEDAOMAwGA1UdEwEB/wQCMAAwDQYJKoZI
hvcNAQELBQADggEBADp1IS9mqTH6xCv1vCtD9sOmm3ICJgKvNXSiNxps+R3w5LUc
BxudcNZoNRnPfATQkUEwhNfRRTDtKE6zCLXpAdknXS4TNUHVdEigD8w8+EAU1Uua
mLApBQ0+2qNUdA/F40dUiOY45tZGN9sZgY+kgl0KjeSgjVvp7OOeMObfJtvvsBp+
y3+Yr2Ly6zq0q1b8904pjSkv26XsG1eEk7TlarfCcBSh3OWpt/1Pn3h716N35LUm
7N0s9aqrbf94TvVGEwE9uqHa44sFnB25QW2SPh7A4PAFbuUsNu9jV9WR2sYR9QMw
Sl7T38pTCOGDXStSaBwoc0Oo4TNtmmVkgOHZzC4=
-----END CERTIFICATE-----
","{""ver"": ""v1"", ""name"": ""PROV_8404c6"", ""pop"": ""bb16bc51"", ""transport"": ""ble""}"
4qJc7XoddWDoBFcXGMAAqW,"-----BEGIN CERTIFICATE-----
MIIDSTCCAjGgAwIBAgIUJDn+VV2OcDt93YnotRi3pb6LTPMwDQYJKoZIhvcNAQEL
BQAwgYcxCzAJBgNVBAMMAmVzMQswCQYDVQQKDAJlczELMAkGA1UECwwCZXMxDTAL
BgNVBAcMBHB1bmUxCzAJBgNVBAgMAk1IMQswCQYDVQQGEwJJTjE1MDMGCSqGSIb3
DQEJARYmZXNwLXJhaW5tYWtlcjE2QHJoZ2FiZnNiLm1haWxvc2F1ci5uZXQwIBcN
MjUwNTI2MTYxMDQwWhgPMjEyNTA1MjYxNjEwNDBaMCExHzAdBgNVBAMMFjRxSmM3
WG9kZFdEb0JGY1hHTUFBcVcwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIB
AQCqRiuhFRu1IWYEkPYzNCMvZny/cqDPCzFUMJ8CsgwpJqLaHFC9Qo/MFGr9yJUI
LZdEOq/phwvQr0K9vvEgnQmER0ViPMkDdVEXVsew8FOfl/pFsCw9/vbkVU6SjhO/
BvkOtSXmZRbTc39B5yZyPiIJzRedAWGTsMWaA5uIzrkzT9lIaqbP6Cy8XChr4rME
sXE8e1XfGpSbTKHIbnYBxT+JkcPwx76z06ziFdpT3bOOMRqDhmyPl+5PDWIvJBbg
uEf6VqTuNyaALysTAza5tcj7vDu4UWWfilgX4RYrzSPkkaGgzE1cqm/HeRHUtWA4
72/zGCZ3NrrvbkFoCwYwjDL9AgMBAAGjEDAOMAwGA1UdEwEB/wQCMAAwDQYJKoZI
hvcNAQELBQADggEBAJnqf1mirUqHv3S9FhK+13ASGHkkuYZNyIcBLwGstTFq2cYj
xsvS1eHmlBp8uzJSPUC7MuvicUTW6HT5uMU5zZb+zUE7prgH4fd3Qe2tkJQD7x9u
j/DWV64D6zhPW9R/3DMPJ3vVExAdrpJH5gBMGUUS+x8rSnoI2f/FYeMoPSn+kLL3
N715CODhRxUYBCSf1BOR1KHXahLib+5ZHGd93pWWkNUtiFPkYw/2/mfjZDkN3DjH
xIOv2a2HKLwANZkhvHNzP6krzPzawEydxXBjJM8imPxRqEz0xBvit/W1G4NV8Yyx
/9YOyjdSafRPwtQq8yNEQfTHeD9CS7eO4zGw5nI=
-----END CERTIFICATE-----
","{""ver"": ""v1"", ""name"": ""PROV_9a2a3f"", ""pop"": ""e0174028"", ""transport"": ""ble""}"
